x,y
-24 ,-19 
-21 ,-23 
-14 ,-28 
-12 ,-29 
-9 ,-30 
-3 ,-31 
5 ,-31 
10 ,-30 
15 ,-27 
21 ,-23 
26 ,-18 
29 ,-12 
31 ,-4 
31 ,1 
30 ,6 
27 ,14 
21 ,23 
17 ,26 
14 ,28 
12 ,29 
9 ,30 
2 ,31 
-4 ,31 
-10 ,30 
-12 ,29 
-21 ,23 
-25 ,19 
-29 ,12 
-30 ,10 
-31 ,5 
x,y
-31 ,-3 
-30 ,-10 
-24 ,-19 
-21 ,-23 
-14 ,-28 
-12 ,-29 
-9 ,-30 
-3 ,-31 
5 ,-31 
10 ,-30 
15 ,-27 
21 ,-23 
26 ,-18 
29 ,-12 
31 ,-4 
31 ,1 
30 ,6 
27 ,14 
21 ,23 
17 ,26 
14 ,28 
12 ,29 
9 ,30 
2 ,31 
-4 ,31 
-10 ,30 
-12 ,29 
-21 ,23 
-25 ,19 
-29 ,12 
-30 ,10 
-31 ,5 
x,y
-31 ,-3 
-30 ,-10 
-24 ,-19 
-21 ,-23 
-14 ,-28 
-12 ,-29 
-9 ,-30 
-3 ,-31 
5 ,-31 
10 ,-30 
15 ,-27 
21 ,-23 
26 ,-18 
29 ,-12 
31 ,-4 
31 ,1 
30 ,6 
27 ,14 
21 ,23 
17 ,26 
14 ,28 
12 ,29 
9 ,30 
2 ,31 
-4 ,31 
-10 ,30 
-12 ,29 
-21 ,23 
-25 ,19 
-29 ,12 
-30 ,10 
-31 ,5 
x,y
-31 ,-3 
-30 ,-10 
-24 ,-19 
-21 ,-23 
-14 ,-28 
-12 ,-29 
-9 ,-30 
-3 ,-31 
5 ,-31 
10 ,-30 
15 ,-27 
21 ,-23 
26 ,-18 
29 ,-12 
31 ,-4 
31 ,1 
30 ,6 
27 ,14 
21 ,23 
17 ,26 
14 ,28 
12 ,29 
9 ,30 
2 ,31 
-4 ,31 
-10 ,30 
-12 ,29 
-21 ,23 
-25 ,19 
-29 ,12 
-30 ,10 
-31 ,5 
x,y
-31 ,-3 
-30 ,-10 
-24 ,-19 
-21 ,-23 
-14 ,-28 
-12 ,-29 
-9 ,-30 
-3 ,-31 
5 ,-31 
10 ,-30 
15 ,-27 
21 ,-23 
26 ,-18 
29 ,-12 
31 ,-4 
31 ,1 
30 ,6 
27 ,14 
21 ,23 
17 ,26 
14 ,28 
12 ,29 
9 ,30 
2 ,31 
-4 ,31 
-10 ,30 
-12 ,29 
-21 ,23 
-25 ,19 
-29 ,12 
-30 ,10 
-31 ,5 
x,y
-31 ,-3 
-30 ,-10 
-24 ,-19 
-21 ,-23 
-14 ,-28 
-12 ,-29 
-9 ,-30 
-3 ,-31 
5 ,-31 
10 ,-30 
15 ,-27 
21 ,-23 
26 ,-18 
29 ,-12 
31 ,-4 
31 ,1 
30 ,6 
27 ,14 
21 ,23 
17 ,26 
14 ,28 
12 ,29 
9 ,30 
2 ,31 
-4 ,31 
-10 ,30 
-12 ,29 
-21 ,23 
-25 ,19 
-29 ,12 
-30 ,10 
-31 ,5 
x,y
-31 ,-3 
-30 ,-10 
-24 ,-19 
-21 ,-23 
-14 ,-28 
-12 ,-29 
-9 ,-30 
-3 ,-31 
5 ,-31 
10 ,-30 
15 ,-27 
21 ,-23 
26 ,-18 
29 ,-12 
31 ,-4 
31 ,1 
30 ,6 
27 ,14 
21 ,23 
17 ,26 
14 ,28 
12 ,29 
9 ,30 
2 ,31 
-4 ,31 
-10 ,30 
-12 ,29 
-21 ,23 
-25 ,19 
-29 ,12 
-30 ,10 
-31 ,5 
